Zingzeu ID	原书汉字	榕典漢字	原书拼音	榕拼	释义	分类	页码	左/右侧	同義詞	福州話釋義
3579	青鸭	青蛤	ts‘iaŋ52 ŋaʔ12	ciang53 ngak24	青蛙	动物	1302	L		""
3572	黄蜱	黃䱝	uoŋ21 p‘ε52	uong21 pe53	小青蛙	动物	1302	L		""
	黄蜱□	黃䱝□	uoŋ21 mε21 lui242	uong21 me21 lui242	蝌蚪	动物	1302	L		""
347E	老*虎	老虎	la21 u33	la21 u33	老虎	动物	1302	L		""
3495	老*蛇	老蛇	lau44 lie52	lau55 lie53	蛇	动物	1302	L		""
348C	拉狸	鯪鯉	la21 li33	la21 li33	穿山甲	动物	1302	L		""
	猴囝	猴囝	kau21 iaŋ33	gau21 iang33	猴子	动物	1302	L		""
	豹囝	豹囝	pau52 iaŋ33	bau53 iang33	豹子	动物	1302	L		""
351B	溪滑*	溪滑	k‘ε44 kɔuʔ5	ke55 gouk5	淡水大鳗鱼	动物	1302	L		""
34FC	□□	阿蛦	a21 ʒi52	a21 ji53	蝉	动物	1302	L		""
	蚕囝	蠶囝	ts‘εiŋ21 ŋiaŋ33	ceing21 ngiang33	蚕	动物	1302	L		""
3506	南尾星	藍尾星	naŋ21 mui21 liŋ44	nang21 mui21 ling55	萤火虫	动物	1302	L		""
	□蝶	蚨蝶	pu44 lieʔ5	bu55 liek5	蝴蝶	动物	1302	L	3509	""
350A	麻胡	螞蝴	ma21 u52	ma21 u53	蜻{蜒,蜓}	动物	1302	L		""
34E7	风蚊	風蚊	huŋ44 muoŋ52	hung55 muong53	蚊子	动物	1302	L		""
34E3	菩蝇	蚨蠅	pu21 liŋ52	bu21 ling53	苍蝇	动物	1302	L		""
	猫头爷	貓頭爺	ma44 lau44 ie52	ma55 lau55 ie53	蜘蛛	动物	1302	L		""
	蜢囝	蜢囝	moyŋ24 ŋiaŋ33	meoyng24 ngiang33	小黑虫	动物	1302	L		""
34F0	虼蚤	虼蚤	ka24 ʒau33	ga24 jau33	跳蚤	动物	1302	L		""
34EB	虱母*	蝨母	seiʔ mo33	seik mo33	虱子	动物	1302	L		""
34D1	猴蚓	蚯蚓	kau21 ɔuŋ33	gau21 oung33	蚯蚓	动物	1302	L		""
	目虱	目虱	meiʔ2 sεiʔ12	meik21 seik24	臭虫	动物	1302	R		""
	⿰粜蚤母	𧏫母	saʔ12 mo33	sak24 mo33	蟑螂	动物	1302	R	34F9	""
34D7	仁蚣	紅蚣	iŋ44 ŋøyŋ44	ing55 ngeoyng55	蜈蚣	动物	1302	R		""
	黄蚁	黃蟻	uong21 ŋie242	uong21 ngie242	蚂蚁	动物	1302	R	34CD	""
39D1	白蚁	白蟻	pa21 ŋie242	ba21 ngie242	白蚂蚁	动物	1302	R		""
	家隻	家隻	ka52 tsieʔ12	ga53 ziek24	麻雀	动物	1302	R	34A3	""
34A7	白鸽	白鴿	pa21 aʔ12	ba21 ak24	白鸽	动物	1302	R		""
	老𪺾	老𪺾	lo21 ŋε52	lo21 nge53	老鹰	动物	1302	R	34B1	""
	燕囝	燕囝	ieŋ52 ŋiaŋ33	ieng53 ngiang33	燕子	动物	1302	R		""
34A0	客鹊	客鵲	k‘a52 ʒyoʔ12	ka53 jyok24	喜鹊	动物	1302	R		""
	□化	□化	ka21 ua213	ga21 ua213	八哥	动物	1302	R	34AF	""
34AB	猫*王鸟*	貓王鳥	ma21 uoŋ21 ʒeu33	ma21 uong21 njeu33	猫头鹰	动物	1302	R		""
	乌鸦	烏鴉	u44 a44	u55 a55	乌鸦	动物	1302	R	349F	""
244E	𫊻	蟳	siŋ52	sing53	青蟹	动物	1302	R		""
5A4	蠘	蠘	ts‘ieʔ5	ciek5	梭子蟹	动物	1302	R		""
	黄瓜鱼	黃瓜魚	uoŋ21 ŋua44 ŋy52	uong21 ngua55 ngy53	黄花鱼	动物	1302	R	3526	""
355E	虾米	蝦米	ha21 mi33	ha21 mi33	虾皮	动物	1302	R		""
358E	蟟囝	蟟囝	liu21 iaŋ33	liu21 iang33	蚬子	动物	1302	R		""
3521	马骹	馬鮫	ma21 k‘a44	ma21 ka55	马鲛鱼	动物	1302	R		""
26CC	䖳	䖳	t‘a213	ta213	海蜇皮	动物	1302	R		""
3517	鳜鱼	鱖魚	kui44 ŋy52	gui55 ngy53	鳜鱼	动物	1302	R		""
	冬鸡	冬雞	toyŋ44 ŋie44	deoyng55 ngie55	大墨鱼	动物	1302	R		""
	虎𫊻	虎蟳	hu21 liŋ52	hu21 ling53	蟹类的一种	动物	1302	R		""
	青鳌	青鰲	ts‘iaŋ44 ŋɔ52	ciang55 ngo53	海蚌	动物	1302	R		""
355D	虾菇	蝦蛄	ha44 u44	ha55 u55	一种贝壳类海产	动物	1302	R		""
	车利	車利	ts‘ia21 lei213	cia21 lei213	海蚯蚓	动物	1302	R		""
1102	鲎	鱟	hau213	hau213	鲎	动物	1302	R		""
28E	鳖	鱉	pieʔ12	biek24	甲鱼	动物	1302	R		""
F7F	龟	龜	kui44	gui55	龟	动物	1302	R		""
2752	蛏	蟶	t‘εiŋ44	teing55	蛏	动物	1302	R		""
352C	鲄囝	魺囝	k‘ɔ52 iaŋ33	ko53 iang33	小鱼干	动物	1302	R		""
	鱼鲞	魚鯗	ŋy21 lyoŋ33	ngy21 lyong33	剖开晾干的鱼	动物	1302	R		""
	跳鱼	跳魚	t‘iu44 ŋy52	tiu55 ngy53	鲦鱼	动物	1302	R		""
	八蛎*	八蠣	pεiʔ5 tie242	beik5 die242	牡蛎	动物	1302	R		""
58E	鳝	鱔	ts‘iaŋ242	ciang242	鱔鱼	动物	1302	R		""
353B	鱿鱼	魷魚	iu21 ŋy52	iu21 ngy53	鱿鱼	动物	1302	R		""
108F	蚶	蚶	haŋ44	hang55	蚶	动物	1302	R		""
	章鱼	章魚	tsyoŋ44 ŋy52	zyong55 ngy53	章鱼	动物	1303	L		""
96A	籼	粙	tiu242	diu242	稻子	植物	1303	L		""
67F	粟*	粟	ts‘uoʔ12	cuoh24	谷子	植物	1303	L		""
211B	稗	稗	p‘ε213	pe213	稗子	植物	1303	L		""
	秫粟*	秫粟	suʔ2 ts‘uoʔ12	suk21 cuok24	糯谷	植物	1303	L		""
	𬖞米	𥻵米	si21 mi33	si21 mi33	粳米	植物	1303	L		""
32AB	番薯	番薯	huaŋ44 ny52	huang55 ny53	红薯	植物	1303	L		""
32B4	番囝薯	番囝薯	huaŋ21 ŋiaŋ21 ny52	huang21 ngiang21 ny53	马铃薯	植物	1303	L		""
32F1	番柿	番柿	huaŋ52 k‘ei242	huang53 kei242	西红柿	植物	1303	L		""
32B7	芋卵	芋卵	uo21 lɔuŋ242	uo21 loung242	芋头	植物	1303	L		""
32B7	姜母	姜母	kyoŋ52 mɔ33	gyong53 mo33	母姜	植物	1303	L		""
	鼎𰱗	鼎𰱗	tiaŋ44 ʒœ213	diang55 njeo213	丝瓜	植物	1303	L		""
	□	□	pu52	bu53	葫芦瓜	植物	1303	L		""
32D7	金瓜	金瓜	kiŋ44 ŋua44	ging55 ngua55	南瓜	植物	1303	L		""
3314	萝卜	蘿蔔	la44 βuʔ5	la55 wuk5	萝卜	植物	1303	L		""
3321	蕹菜	蕹菜	uŋ52 ʒai213	ung53 njai213	空心菜	植物	1303	L		""
331C	茭笋	茭筍	ka52 luŋ33	ga53 lung33	茭笋	植物	1303	L		""
32F7	番椒	番椒	huaŋ44 ʒiu44	huang55 njiu55	辣椒	植物	1303	L		""
32FC	芥菜	芥菜	kua52 ʒai213	gua53 jai213	芥菜	植物	1303	L		""
21E9	薸	薸	p‘iu52	piu53	浮萍	植物	1303	L		""
3304	包菜	包菜	pau52 ʒai213	bau53 jai213	洋白菜	植物	1303	L		""
32CF	紫菜	紫菜	tsie44 ʒai213	zie55 jai213	茄子	植物	1303	L		""
33DB	莓梨	尾梨	mui21 li52	mui21 li53	荸荠	植物	1303	L		""
33C3	龙眼	龍眼	lɔuŋ21 ŋεiŋ33	loung21 ngeing33	龙眼	植物	1303	L		""
33C7	荔枝	荔枝	lie44 ʒie44	lie55 jie55	荔枝	植物	1303	L		""
33BE	芭蕉	芭蕉	pa44 ʒiu44	ba55 jiu55	香蕉	植物	1303	L		""
2134	□	枹	p‘au44	pau55	柚子	植物	1303	L		""
33C2	□红	□紅	ts‘uo21 uŋ52	cuo21 ung53	杨梅	植物	1303	L		""
33B1	番石榴	番石榴	huaŋ21 nyo44 liu52	huang21 nyo55 liu53	番石榴	植物	1303	L		""
33CA	黄郑	黃彈	uoŋ21 naŋ242	uong21 nang242	黄皮果	植物	1303	L		""
33D2	栗子	栗子	liʔ2 tsi33	lik2 zi33	栗子	植物	1303	L		""
	杉树*	杉樹	saŋ52 ʒiu213	sang53 njiu213	杉树	植物	1303	L	566F	""
	梧桐	梧桐	ŋu21 luŋ52	ngu21 lung53	梧桐	植物	1303	L		""
41E2	松柏	松柏	syŋ21 maʔ12	syng21 mak24	松树	植物	1303	L		""
3372	麻竹	麻竹	ma21 løyʔ12	ma21 leoyk24	毛竹	植物	1303	L		""
3336	树*箬	樹箬	ts‘iu44 nyoʔ5	ciu55 nyok5	树叶	植物	1303	R		""
5452	树*桠	樹椏	ts‘iu44 ŋε44	ciu55 nge55	树枝	植物	1303	R		""
333B	栽树*	栽樹	tsai52 ts‘iu213	zai53 ciu213	种树	植物	1303	R		""
332A	菜栽	菜栽	ts‘ai44 ʒai44	cai55 jai55	菜苗	植物	1303	R		""
3331	树*栽	樹栽	ts‘iu44 ʒai44	ciu55 jai55	树苗	植物	1303	R		""
33EF	茉莉	茉莉	moyʔ2 lei242	moyk2 lei242	茉莉花	植物	1303	R		""
3887	丈夫侬	丈夫儂	tɔuŋ21 muo44 noyŋ52	doung21 muo55 neoyng53	男人	人品	1303	R		""
388E	诸娘侬	諸娘儂	tsy44 nyoŋ44 noyŋ52	zy55 nyong55 neoyng53	女人	人品	1303	R		""
38B1	老*侬	老儂	lau44 noyŋ52	lau55 neoyng53	老人	人品	1303	R		""
38B7	老*货	老貨	lau21 huo213	lau21 huo213	老人(贬)	人品	1303	R		""
	丈*夫*侬老*	丈夫儂老	tɔuŋ21 muo44 noyŋ21 lau242	doung21 muo55 neoyng21 lau242	老男人	人品	1303	R		""
	诸娘老*	諸娘老	tsy52 nyoŋ21 lau242	zy53 nyong21 lau242	老女人	人品	1303	R		""
38F8	单身哥	單身哥	tan21 niŋ44 ŋɔ44	dan21 ning55 ngo55	单身汉	人品	1303	R		""
	守妈	守媽	tsiu24 ma33	ziu24 ma33	寡妇	人品	1303	R		""
42A0	悬*哥	懸哥	kεiŋ44 ŋɔ44	geing55 ngo55	高个子	人品	1303	R		""
3943	矮囝	矮囝	ε24 iaŋ33	e24 iang33	矮个子	人品	1303	R		""
	汉码大	漢馬大	haŋ21 ma44 tuai242	hang21 ma55 duai242	大个子	人品	1303	R		""
35DA	隔壁*厝	間壁厝	ka21 βia52 ʒuo213	ga21 wia53 juo213	邻居	人品	1303	R		""
359B	厝边	厝邊	ts‘uo44 βieŋ44	cuo55 wieng55	邻居	人品	1303	R		""
38AC	丈*夫*囝	丈夫囝	tɔuŋ21 muo52 iaŋ33	doung21 muo53 iang33	男孩子	人品	1303	R		""
38AE	诸娘囝	諸娘囝	tsy52 noyŋ44 ŋiaŋ33	zy53 neoyng55 ngiang33	女孩子	人品	1303	R		""
389C	伲囝哥	伲囝哥	nie21 iaŋ21 ŋɔ44	nie21 iang21 ngo55	小孩子	人品	1303	R		""
4809	新妇囝	新婦囝	siŋ21 mu52 iaŋ33	sing21 mu53 iang33	童养媳	人品	1303	R		""
38FB	{厝脊,□厝脊}	硩厝脊	ta21 ʒuo52 ʒeiʔ12	{da21 juo53 jeik24,dah21 juo53 jeik24}	老处女	人品	1303	R		""
	谊女	誼女	ŋie21 ny33	ngie21 ny33	婢女	人品	1303	R		""
	谊囝	誼囝	ŋie21 iaŋ33	ngie21 iang33	干儿子	人品	1303	R		""
3902	白面	白面	pa21 meiŋ213	ba21 meing213	妓女	人品	1303	R		""
392B	歹*囝	痞囝	p‘ai24 iaŋ33	pai24 iang33	流氓	人品	1303	R		""
3919	呆*囝	呆囝	ŋai21 iaŋ33	ngai21 iang33	学坏的人	人品	1303	R		""
389A	好囝	好囝	hɔ24 iaŋ33	ho24 iang33	学好的人	人品	1303	R		""
38D0	𪴯囝	歞囝	ŋɔuŋ21 ŋiaŋ33	ngoung21 ngiang33	傻子	人品	1303	R		""
38DD	两*个声	兩個聲	laŋ21 ŋa21 liaŋ44	lang21 nga21 liang55	不会讲本地话的人	人品	1303	R		""
39BD	掌盘使	掌盤婿	tsyoŋ44 muaŋ21 nai213	zyong55 muang21 nai213	掌柜的	人品	1303	R		""
39A9	长年	長年	tɔuŋ21 nieŋ52	doung21 nieng53	长工	人品	1303	R		""
43D4	煮*食*	煮食	tsy21 lieʔ5	zy21 liek5	煮饭婆	人品	1303	R	3A40	""
	宝□奶	寶□奶	pɔ21 u24 nε33	bo21 u24 ne33	接生婆	人品	1304	L		""
4322	铜子	僮子	toyŋ21 ʒi33	deoyng21 nji33	神汉	人品	1304	L		""
	□□妈	□□媽	le21 ʒi24 ma33	le21 ji24 ma33	招魂女人	人品	1304	L		""
3A28	厨司付	廚師傅	tuo21 la52 ou242	duo21 la53 ou242	厨师	人品	1304	L		""
	赌博鬼	賭博鬼	tu21 βouʔ5 kui33	du21 wouk5 gui33	惯赌	人品	1304	L		""
3A20	甲哥	甲哥	kaʔ12 kɔ44	gak24 go55	搬运工	人品	1304	L		""
	和头	和頭	huo21 lau52	huo21 lau53	和事老	人品	1304	L		""
	新新妇	新新婦	siŋ21 niŋ52 mou242	sing21 ning53 mou242	新娘	人品	1304	L	3B15	""
4148	新郎使	新郎婿	siŋ52 nɔuŋ21 nai213	sing53 noung21 nai213	新郎	人品	1304	L		""
3922	乞食*	乞食	k‘yʔ21 sieʔ5	kyk21 sieh5	乞丐	人品	1304	L		""
	大公	大公	tuai44 uŋ44	duai55 ung55	曾祖父	人品	1304	L		""
3A59	大妈	大媽	tuai21 ma33	duai21 ma33	曾祖母	人品	1304	L		""
3A5A	依公	依公	i44 kuŋ44	i55 gung55	祖父	人品	1304	L		""
3A78	依妈	依媽	i52 ma33	i53 ma33	祖母	人品	1304	L		""
3A86	伯公	伯公	pa44 uŋ44	{ba55 ung55,bah55 ung55}	伯祖父	人品	1304	L		""
	姆妈	姆媽	mu24 ma33	mu24 ma33	伯祖母	人品	1304	L	38BC	""
3A92	叔公	叔公	tsyʔ12 kuŋ44	zyk24 gung55	叔祖父	人品	1304	L		""
	婶妈	嬸媽	siŋ24 ma33	sing24 ma33	叔祖母	人品	1304	L		""
3A6B	郎爸	郎罷	nɔuŋ21 ma242	noung21 ma242	父親	人品	1304	L		""
3A67	依爹	依爹	i44 tia44	i55 dia55	父親	人品	1304	L		""
3A6F	娘奶	娘奶	nɔuŋ21 nε33	noung21 ne33	母親	人品	1304	L		""
3A79	依奶	依奶	i52 nε33	i53 ne33	母親	人品	1304	L		""
3A85	依伯	依伯	i52 paʔ12	i53 bak24	伯父	人品	1304	L		""
	依母	依母	i52 mu33	i53 mu33	伯母	人品	1304	L		""
3A8F	依家	依家	i44 ka44	i55 ga55	叔叔	人品	1304	L		""
3A94	家婶	家嬸	ka52 liŋ33	ga53 ling33	婶子	人品	1304	L		""
3A62	外*公	外公	ŋie44 uŋ44	ngie55 ung55	外祖父	人品	1304	L		""
3A63	外*妈	外媽	ŋie21 ma33	ngie21 ma33	外祖母	人品	1304	L		""
3A95	依舅	依舅	i52 kiu242	i53 giu242	舅父	人品	1304	L		""
3A9C	依妗	依妗	i52 keiŋ242	i53 geing242	舅母	人品	1304	L		""
	姨姨	姨姨	i21 i52	i21 i53	姨母	人品	1304	L		""
3AA4	姨丈	姨丈	i21 lyoŋ242	i21 lyong242	姨丈	人品	1304	L		""
3A9D	姑妈	姑嬤	ku44 ma44	gu55 ma55	姑母	人品	1304	L		""
3A9E	姑丈	姑丈	ku52 lyoŋ242	gu53 lyong242	姑丈	人品	1304	L		""
3AE8	依姐	依姐	i52 tsia33	i53 zia33	姐姐	人品	1304	L		""
3AEA	姐夫	姐夫	tsia21 u44	zia21 u55	姐夫	人品	1304	L		""
3AEC	依妹	依妹	i52 mui213	i53 mui213	妹妹	人品	1304	R		""
3AEE	妹夫	妹夫	mui44 u44	mui55 u55	妹夫	人品	1304	R		""
3ADA	依哥	依哥	i44 kɔ44	i55 go55	哥哥	人品	1304	R		""
3ADF	依嫂	依嫂	i52 sɔ33	i53 so33	嫂子	人品	1304	R		""
3AE2	依弟	依弟	i52 tie242	i53 die242	弟弟	人品	1304	R		""
3AE5	弟人**	弟人	tie44 iŋ52	die55 ing53	弟媳	人品	1304	R		""
	爹官	爹官	tε44 uaŋ44	de55 uang55	公公	人品	1304	R		""
	爹家	爹家	tε44 a44	de55 a55	婆婆	人品	1304	R		""
DB7	囝	囝	kiaŋ33	giang33	儿子	人品	1304	R		""
3B15	新妇	新婦	siŋ52 mou242	sing53 mou242	儿媳	人品	1304	R		""
2594	孙	孫	sɔuŋ44	soung55	孙子，姪儿	人品	1304	R		""
3B2A	外*甥	外甥	ŋie44 lεiŋ44	ngie55 leing55	外甥	人品	1304	R		""
	外*孙	外孫	ŋie44 lɔuŋ44	ngie55 loung55	外孙	人品	1304	R		""
	孙孙囝	孫孫囝	sɔuŋ21 nɔuŋ52 ŋiaŋ33	soung21 noung53 ngiang33	曾孙	人品	1304	R		""
3A7B	丈侬	丈儂	tyoŋ21 noyŋ52	dyong21 neoyng53	岳父	人品	1304	R		""
3A7C	丈奶	丈奶	tyoŋ24 nε33	dyong24 ne33	岳母	人品	1304	R		""
	叔婶伯罕	叔嬸伯罕	tsyʔ12 siŋ21 pa52 aŋ33	zyk24 sing21 ba53 ang33	妯娌	人品	1304	R		""
3AD5	兄弟哥	兄弟哥	hiaŋ21 nie44 ɔ44	hiang21 nie55 o55	弟兄	人品	1304	R		""
3AD9	姐妹	姐妹	tsia44 mui213	zia55 mui213	姐妹	人品	1304	R		""
4F16	郎爸囝	郎罷囝	nɔuŋ21 ma52 iaŋ33	noung21 ma53 iang33	父子	人品	1304	R		""
4F13	娘奶囝	娘奶囝	nyoŋ21 nε24 iaŋ33	nyong21 ne24 iang33	母子	人品	1304	R		""
3AAF	老*公妈	老公媽	la21 uŋ52 ma33	la21 ung53 ma33	夫妻	人品	1304	R		""
4403	食*早*	食早	sieʔ2 tsia33	sieh21 zia33	吃早饭	饮食	1304	R		""
4406	食*昼*	食晝	sieʔ2 tau213	sieh21 dau213	吃午饭	饮食	1304	R		""
4404	食*暝	食暝	sieʔ2 maŋ52	sieh21 mang53	吃晚饭	饮食	1304	R		""
	糜粥	糜粥	mui21 ʒøyʔ12	mui21 jeoyk24	稀饭	饮食	1304	R		""
	燋饭*	燋飯	ta52 βuoŋ242	da53 wuong242	干饭	饮食	1304	R		""
	漉饭*	漉飯	lɔyʔ2 puoŋ242	loyk2 buong242	捞饭	饮食	1304	R		""
3F69	凊饭*	凊飯	ts‘iŋ52 muoŋ242	cing53 muong242	冷饭	饮食	1304	R		""
179B	𣗬饭*	糗飯	k‘iu52 βuoŋ242	kiu53 wuong242	硬饭	饮食	1304	R		""
3F54	碎食*	碎食	ts‘oy44 lieʔ5	coy55 liek5	零食	饮食	1304	R		""
43C7	熻饭*	熻飯	hiʔ5 puog242	hik5 buog242	焖饭	饮食	1304	R		""
	焖饭	燜飯	muŋ21 puoŋ242	mung21 buong242	焖饭	饮食	1304	R		""
	乇配	乇配	nɔ52 ui213	no53 ui213	下饭菜	饮食	1304	R		""
	白𬖞	白𥻵	pa44 li52	ba55 li53	白粿	饮食	1304	R		""
3FCE	糖粿	糖粿	t‘ɔuŋ21 ŋui33	toung21 ngui33	甜糕	饮食	1305	L		""
3FC1	扁肉	扁肉	pieŋ21 nyʔ5	bieng21 nyk5	馄饨	饮食	1305	L		""
	蹄库	蹄庫	tε21 k‘ou213	de21 kou213	猪蹄膀上的肉	饮食	1305	L		""
4015	下水	下水	a21 ʒy33	a21 jy33	鸡鸭内𦛊	饮食	1305	L		""
	切面	切面	ts‘ieʔ5 mieŋ242	ciek5 mieng242	切面	饮食	1305	L		""
3FD7	春饼	春餅	ts‘uŋ52 miaŋ33	cung53 miang33	春卷	饮食	1305	L		""
	燕皮	燕皮	ieŋ44 p‘ui52	ieng55 pui53	瘦肉制的馄饨皮	饮食	1305	L		""
	肥肉	肥肉	pui44 nyʔ5	bui55 nyk5	肥肉	饮食	1305	L		""
3FDE	㾪肉	㾪肉	sεiŋ21 nyʔ5	seing21 nyk5	瘦肉	饮食	1305	L		""
	□老	□老	muaŋ44 lɔ33	muang55 lo33	猪舌	饮食	1305	L	3FF4	""
	猪骹	豬骹	ty44 k‘a44	dy55 ka55	猪脚	饮食	1305	L		""
	猪骹爪	豬骹爪	ty21 a52 ʒau33	dy21 a53 jau33	猪脚的前半部	饮食	1305	L		""
3FE8	骹柄	骹柄	k‘a52 βaŋ213	ka53 wang213	猪脚的后半部	饮食	1305	L		""
3FE7	肉绒	肉絨	nyʔ5 yŋ52	nyk5 yng53	肉松	饮食	1305	L		""
354D	鱼丸	魚丸	ŋy21 uoŋ52	ngy21 uong53	鱼丸	饮食	1305	L		""
	鱼面	魚面	ŋy21 mieŋ242	ngy21 mieng242	鱼面	饮食	1305	L		""
	线面	線面	siaŋ52 mieŋ242	siang53 mieng242	线面	饮食	1305	L	3F99	""
4048	豆腐	豆腐	ta21 ou242	da21 ou242	豆腐	饮食	1305	L		""
4022	皮卵	皮卵	p‘ui21 lɔuŋ242	pui21 loung242	松花蛋	饮食	1305	L		""
4014	腹*里*	腹裏	puʔ12 tie33	buk24 die33	动物内𦛊	饮食	1305	L		""
	煠卵*	煠卵	saʔ2 lɔuŋ242	sak2 loung242	清水煮蛋	饮食	1305	L		""
4089	豉油	豉油	sie44 iu52	sie55 iu53	酱油	饮食	1305	L		""
	文饼	文餅	uŋ21 miaŋ33	ung21 miang33	油炸的面粉条	饮食	1305	L		""
401B	卵包	卵包	lɔuŋ44 mau44	loung55 mau55	荷包蛋	饮食	1305	L		""
2F48	冰箸	冰箸	pin52 tøy242	bin53 deoy242	冰棒	饮食	1305	L		""
4675	漀茶	傾茶	k‘iŋ21 ta52	king21 da53	倒茶	饮食	1305	L		""
441A	食*茶	食茶	sieʔ2 ta52	sieh21 da53	喝茶	饮食	1305	L		""
4420	食*薰	食熏	sieʔ5 hɔuŋ44	sieh5 houng55	抽烟	饮食	1305	L		""
441B	食*酒	食酒	sieʔ2 tsiu33	siek2 ziu33	喝酒	饮食	1305	L		""
43F3	食*饭*	食飯	sieʔ puoŋ242	siek buong242	吃饭	饮食	1305	L		""
	豆干	豆乾	tau44 uaŋ44	dau55 uang55	硬些的豆腐	饮食	1305	L		""
4052	香干	香乾	hyoŋ44 ŋaŋ44	hyong55 ngang55	𰛮豆腐干	饮食	1305	L		""
4B69	爬起	爬起	pa52 k‘i33	ba53 ki33	起来	起居	1305	L		""
2310	洗面	洗面	sε44 meiŋ213	se55 meing213	洗脸	起居	1305	L		""
4454	洗汤	洗湯	sε21 lɔuŋ44	se21 loung55	洗澡	起居	1305	L		""
4442	洗牙齿	洗牙齒	sε44 ŋa21 i33	se55 nga21 i33	刷牙	起居	1305	R		""
4456	澉身	挸身	kaŋ21 niŋ44	gang21 ning55	擦身	起居	1305	R		""
40E3	泡茶	泡茶	p‘au44 ta52	pau55 da53	沏茶	起居	1305	R		""
	颂衣裳	頌衣裳	sy21 i44 lyoŋ52	sy21 i55 lyong53	穿衣服	起居	1305	R		""
4386	褪衣裳	褪衣裳	t‘ɔug21 i44 lyoŋ52	toug21 i55 lyong53	脱衣服	起居	1305	R		""
303E	行*𰉣	行路	kiaŋ21 tuo242	giang21 duo242	走路	起居	1305	R		""
44EB	客蹓	客佻	k‘a44 liu52	ka55 liu53	玩耍	起居	1305	R		""
44DC	去*街	去街	k‘ɔ44 kε44	ko55 ge55	上街	起居	1305	R		""
497B	去*斋	去齋	k‘ɔ44 ʒe44	ko55 je55	上学	起居	1305	R		""
64F	睶	睶	ts‘uŋ33	cung33	打瞌睡	起居	1305	R		""
44D5	转厝	轉厝	tuoŋ44 ts‘uo213	duong55 cuo213	回家	起居	1305	R		""
464F	做侬客*	做儂客	tsɔ44 noyŋ21 ŋaʔ12	zo55 neoyng21 ngak24	做客	起居	1305	R		""
47F7	剃头	剃頭	t‘ie44 lau52	tie55 lau53	理发	起居	1305	R		""
4495	睏昼	睏晝	k‘ɔuŋ52 nau213	koung53 nau213	午睡	起居	1305	R		""
44AD	狂眠	狂眠	kuoŋ21 miŋ52	guong21 ming53	讲梦话	起居	1305	R		""
	腹*老空*	腹老空	puʔ12 lɔ52 k‘oyŋ44	buk24 lo53 keoyng55	肚子饿	起居	1305	R	4422	""
	扫厝	掃厝	sau52 ʒuo213	sau53 juo213	扫地	起居	1305	R		""
	好睏	好睏	hɔ44 ɔuŋ213	ho55 oung213	好睡	起居	1305	R		""
	睏𫧃着	睏儥著	k‘ɔuŋ213 mε44 lyoʔ5	koung213 me55 lyok5	睡不着	起居	1305	R		""
	毛眠睏	無眠睏	mɔ21 miŋ21 ŋɔuŋ213	mo21 ming21 ngoung213	睡不着	起居	1305	R		""
44AE	清醒*	清醒	ts‘iŋ52 ʒiaŋ33	cing53 njiang33	睡醒	起居	1305	R		""
	门头	門頭	muoŋ21 nau52	muong21 nau53	送礼	起居	1305	R		""
5840	熬暝	熬暝	ŋɔ21 ma52	ngo21 ma53	熬夜	起居	1305	R		""
445D	拉尿	拉尿	na21 niu242	na21 niu242	拉尿	起居	1305	R		""
4461	拉屎	拉屎	na21 sai33	na21 sai33	拉屎	起居	1305	R		""
	摒粪倒	摒糞掃	piaŋ21 puŋ52 nɔ213	biang21 bung53 no213	倒垃圾	起居	1305	R		""
3E3D	衣裳	衣裳	i44 lyoŋ52	i55 lyong53	衣服，上衣	服饰	1305	R		""
	衣裳衫颂	衣裳衫頌	i21 lyoŋ21 naŋ52 nøyŋ242	i21 lyong21 nang53 neoyng242	衣衫	服饰	1305	R		""
17C6	裤	褲	k‘ou213	kou213	裤子	服饰	1305	R		""
	裤郎囝	褲郎囝	k‘u52 lɔuŋ21 ŋiaŋ33	ku53 loung21 ngiang33	短裤	服饰	1305	R	3E8D	""
3E8E	半长裤	半長褲	puaŋ44 nɔuŋ21 ŋou213	buang55 noung21 ngou213	短裤	服饰	1305	R		""
	放*斗裤	放斗褲	puŋ21 nau44 ou213	bung21 nau55 ou213	开裆裤	服饰	1305	R	3E96	""
	颂睏裤	頌睏褲	syŋ21 ŋouŋ52 ŋou213	syng21 ngoung53 ngou213	睡裤	服饰	1305	R		""
F11	裙	裙	kuŋ52	gung53	裙子	服饰	1305	R		""
	背心	背心	pui44 liŋ44	bui55 ling55	背心	服饰	1305	R		""
3E6B	汗𧜛	汗𧜛	kaŋ21 lɔuŋ33	gang21 loung33	汗衣	服饰	1306	L		""
3E70	羊毛𧜛	羊毛𧜛	yoŋ21 mɔ21 lɔuŋ33	yong21 mo21 loung33	羊毛衣	服饰	1306	L		""
3E6C	背褡	背褡	pui52 laʔ12	bui53 lak24	背心	服饰	1306	L		""
3E6F	羊毛䘥	羊毛䘥	yoŋ21 mɔ21 kaʔ12	yong21 mo21 gak24	羊毛背心	服饰	1306	L		""
3E46	长衫	長衫	tɔuŋ44 naŋ44	doung55 nang55	长袍	服饰	1306	L		""
3E4B	鲜衣	鮮衣	ts‘ieŋ44 i44	cieng55 i55	旗袍	服饰	1306	L	3E49	""
3E56	大衣	大衣	tuai44 i44	duai55 i55	大衣	服饰	1306	L		""
